"StandbyGC",10
"LI Loc Short Name",1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
"BTM",1746,994,933,716,701,1114,1140,810,761,877,743,1015,1188,1535,1007
"Buzz",1993,932,855,857,671,1169,946,886,1149,1145,1084,1050,1331,1601,1392
"Jungle",494,546,382,422,409,488,505,363,366,428,473,476,513,409,319
"Pan",1050,619,510,516,534,487,510,457,457,443,430,449,455,436,621
"Philhar",872,1209,1397,1405,1169,1125,1098,1193,1275,1313,1379,1204,625,572,421
"Pooh",787,457,408,327,354,334,373,353,315,275,330,357,443,682,638
"Space Mtn",1606,1066,635,542,394,429,605,459,418,736,744,482,524,837,989
"Splash",1153,981,766,771,779,1042,1023,738,726,773,1158,1211,602,807,1263
"Stitch",1280,1116,838,706,850,787,840,991,1018,1086,1053,1038,828,640,315

"xPassGC",10
"LI Loc Short Name",1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
"BTM",0,943,1084,1276,1316,943,871,1156,1197,1059,1169,932,667,198,199
"Buzz",0,978,1112,1103,1148,686,928,938,714,715,799,742,543,304,51
"Jungle",0,330,525,555,545,541,452,535,563,480,519,444,292,78,2
"Pan",0,480,576,574,573,560,538,573,576,576,575,575,573,574,383
"Philhar",4,203,387,582,784,799,778,716,624,459,302,123,7,2,4
"Pooh",0,305,371,427,431,402,371,358,423,421,427,407,319,96,24
"Space Mtn",71,670,1137,1122,1253,1112,1035,1188,1239,958,952,1097,1172,848,585
"Splash",0,954,1111,1066,1123,839,846,1111,1105,1134,796,702,1118,872,115
"Stitch",21,315,568,734,654,581,443,433,355,299,325,238,76,50,22

"StandbyWait",10
"LI Loc Short Name",1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
"BTM",6,19,33,40,42,30,26,31,30,36,39,27,14,10,8
"Buzz",6,17,34,32,35,22,25,26,22,20,22,20,11,6,2
"Jungle",24,33,47,42,51,44,27,44,45,27,41,35,21,18,11
"Pan",12,22,42,49,53,53,55,52,48,52,56,40,22,27,12
"Philhar",9,11,9,13,21,22,23,20,16,16,10,10,8,8,7
"Pooh",8,12,26,32,32,36,27,31,28,33,29,28,11,8,1
"Space Mtn",14,26,49,62,69,64,64,57,57,37,39,54,40,30,20
"Splash",21,36,53,57,71,53,41,64,60,45,26,19,14,25,13
"Stitch",6,10,21,24,13,12,11,9,10,9,9,6,5,5,5

"xPassWait",10
"LI Loc Short Name",1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400
"BTM",0,1,4,4,5,5,6,5,4,4,3,3,3,3,4
"Buzz",0,3,5,5,6,4,4,6,5,3,5,6,5,3,2
"Jungle",0,5,6,7,8,9,5,10,9,6,9,9,3,4,4
"Pan",0,3,6,6,8,8,6,6,6,6,8,9,5,5,4
"Philhar",6,10,9,11,12,13,15,11,11,9,9,12,8,8,8
"Pooh",0,2,3,7,7,8,4,6,7,7,6,5,3,2,2
"Space Mtn",6,4,6,12,14,18,15,10,17,7,8,12,11,7,6
"Splash",0,2,2,4,4,4,2,4,4,4,1,1,1,3,2
"Stitch",5,6,6,9,6,8,7,6,6,5,6,5,5,5,7
